updated,,,,votes,,,,,,,candidate,,,,,party,percentage
11:30 p.m April 4,2,2,1,"16,416",,1,1,0,0,Mayor,Lisa Calderón,104027,1510,163,0,,15.16%
,2,2,2,781,,2,1,0,0,Mayor,Trinidad Rodriguez,104027,1510,163,0,,0.72%
,2,2,3,503,,3,1,0,0,Mayor,Aurelio Martinez,104027,1510,163,0,,0.46%
,2,2,4,"1,167",,4,1,0,0,Mayor,Thomas Wolf,104027,1510,163,0,,1.08%
,2,2,5,499,,5,1,0,0,Mayor,Al Gardner,104027,1510,163,0,,0.46%
,2,2,6,997,,6,1,0,0,Mayor,Terrance Roberts,104027,1510,163,0,,0.92%
,2,2,8,125,,8,1,0,0,Mayor,Renate Behrens,104027,1510,163,0,,0.12%
,2,2,9,"5,665",,9,1,0,0,Mayor,Chris Hansen,104027,1510,163,0,,5.23%
,2,2,10,"26,779",,10,1,0,0,Mayor,Mike Johnston,104027,1510,163,0,,24.73%
,2,2,11,467,,11,1,0,0,Mayor,James Walsh,104027,1510,163,0,,0.43%
,2,2,12,"1,400",,12,1,0,0,Mayor,Ean Thomas Tafoya,104027,1510,163,0,,1.29%
,2,2,13,"13,960",,13,1,0,0,Mayor,Andy Rougeot,104027,1510,163,0,,12.89%
,2,2,14,"10,280",,14,1,0,0,Mayor,Leslie Herod,104027,1510,163,0,,9.49%
,2,2,15,108,,15,1,0,0,Mayor,Robert Treta,104027,1510,163,0,,0.10%
,2,2,16,"5,018",,16,1,0,0,Mayor,"Deborah ""Debbie"" Ortega",104027,1510,163,0,,4.63%
,2,2,17,"24,095",,17,1,0,0,Mayor,Kelly Brough,104027,1510,163,0,,22.25%
,2,2,18,20,,,1,0,1,Mayor,Write-in,104027,1510,163,0,,0.02%